name,location,length,basinArea,seaBasin,mainUse
ჭოროხი,"სამხრეთ-დასავლეთ საქართველო, აჭარის რეგიონიდან შავ ზღვამდე",26,22100,შავი ზღვა,"ჰიდროენერგეტიკა, ირიგაცია, რეკრეაცია"
ქსანი,"აღმოსავლეთ საქართველო, მცხეთა-მთიანეთის რეგიონი",84,885,კასპიის ზღვა,"წყალმომარაგება, ირიგაცია, რეკრეაცია"
აჭარისწყალი,"დასავლეთ საქართველო, აჭარის რეგიონიდან შავ ზღვამდე",90,1540,შავი ზღვა,"ჰიდროენერგეტიკა, ირიგაცია, რეკრეაცია"
დიდი ლიახვი,"აღმოსავლეთ საქართველო, შიდა ქართლის რეგიონი",98,2440,კასპიის ზღვა,"ირიგაცია, წყალმომარაგება, სოფლის მეურნეობა"
ტეხური,"დასავლეთ საქართველო, სამეგრელოს რეგიონიდან შავ ზღვამდე",101,1040,შავი ზღვა,"ჰიდროენერგეტიკა, ირიგაცია, რეკრეაცია"
სუფსა,"დასავლეთ საქართველო, გურიის რეგიონიდან შავ ზღვამდე",108,1130,შავი ზღვა,"ირიგაცია, ტრანსპორტირება, თევზჭერა"
კოდორი,"ჩრდილო-დასავლეთ საქართველო, აფხაზეთის რეგიონიდან შავ ზღვამდე",110,2030,შავი ზღვა,"ჰიდროენერგეტიკა, ირიგაცია, ეკოლოგიური კონსერვაცია"
ბზიფი,"ჩრდილო-დასავლეთ საქართველო, აფხაზეთის რეგიონიდან შავ ზღვამდე",110,1510,შავი ზღვა,"რეკრეაცია, თევზჭერა, ეკოლოგიური კონსერვაცია"
ალგეთი,"აღმოსავლეთ საქართველო, ქვემო ქართლის რეგიონი",118,763,კასპიის ზღვა,"ირიგაცია, წყალმომარაგება, რეკრეაცია"
ყვირილა,"დასავლეთ საქართველო, იმერეთის რეგიონი",140,3630,შავი ზღვა,"ჰიდროენერგეტიკა, ირიგაცია, სამრეწველო გამოყენება"
ხობი,"დასავლეთ საქართველო, სამეგრელოს რეგიონიდან შავ ზღვამდე",150,1340,შავი ზღვა,"ირიგაცია, თევზჭერა, ტრანსპორტირება"
ცხენისწყალი,"დასავლეთ საქართველო, რაჭა-ლეჩხუმის რეგიონი",176,2120,შავი ზღვა,"ჰიდროენერგეტიკა, ირიგაცია, რეკრეაცია"
ქცია-ხრამი,"აღმოსავლეთ საქართველოდან დასავლეთ აზერბაიჯანამდე",201,8340,კასპიის ზღვა,"ჰიდროენერგეტიკა (წალკის წყალსაცავი), ირიგაცია"
ენგური,"დასავლეთ საქართველო, კავკასიონის მთებიდან შავ ზღვამდე",213,4060,შავი ზღვა,"ჰიდროენერგეტიკა (ენგურჰესი), ირიგაცია"
იორი,"აღმოსავლეთ საქართველო, დიდი კავკასიონიდან აზერბაიჯანამდე",320,4650,კასპიის ზღვა,"ირიგაცია, ეკოლოგიური კონსერვაცია"
მტკვარი,"აღმოსავლეთ საქართველო, თურქეთიდან აზერბაიჯანამდე",326,188000,კასპიის ზღვა,"ირიგაცია, ჰიდროენერგეტიკა, წყალმომარაგება"
რიონი,"დასავლეთ საქართველო, კავკასიონის მთებიდან შავ ზღვამდე",327,13400,შავი ზღვა,"ჰიდროენერგეტიკა, ირიგაცია, ტრანსპორტირება"
ალაზანი,"აღმოსავლეთ საქართველო, კახეთის რეგიონი",362,11800,კასპიის ზღვა,"ირიგაცია, სოფლის მეურნეობა"
